date,close,returns,label,rsi_14,macd,bb_upper,bb_lower,sma_7,sma_30,sentiment_avg,fear_greed,buy_hold,model,random,pred,in_market
2025-08-18,116227.05,-0.010084,0,47.87,623.209908,121852.49207308,111798.89692692,118584.33857143,117305.79,0.0,60.0,19095.359511875373,5468.970887014667,13103.99384830605,0,0
2025-08-19,112872.94,-0.029283,1,40.13,195.410184,121876.53014011,111278.12285989,117547.03285714,117159.384,0.0,56.0,18544.30073259485,5305.8347774374515,12713.109599605408,1,1
2025-08-20,114271.24,0.012312,0,44.18,-30.442138,121891.41822108,111113.95077892,116256.29142857,117055.74666667,0.0,44.0,18774.032462045572,5300.528942660014,12870.602982458095,0,0
2025-08-21,112500.0,-0.015622,1,40.44,-348.340543,121962.10546944,110963.47053056,115428.42142857,116807.266,0.0,50.0,18483.02908045915,5300.528942660014,12671.104606255569,0,0
2025-08-22,116935.99,0.038673,0,51.5,-239.568403,121864.70646316,111499.83353684,115370.41285714,116746.59933333,0.0,50.0,19211.833810864715,5300.528942660014,13170.739213564935,0,0
2025-08-23,115438.05,-0.012893,0,48.24,-271.111731,121830.93633003,111656.52866997,115092.89714286,116649.83466667,0.0,60.0,18965.73186792442,5300.528942660014,13157.56847435137,0,0
2025-08-24,113493.59,-0.016988,0,44.32,-447.84919,121907.55868436,111423.76231564,114534.12285714,116512.47733333,0.0,53.0,18646.269550361845,5300.528942660014,13157.56847435137,0,0
2025-08-25,110111.98,-0.030249,1,38.47,-850.973078,122380.51141591,110549.03258409,113660.54142857,116252.21033333,0.0,47.0,18090.692697306098,5137.45388780703,12752.765251145129,1,1
2025-08-26,111763.22,0.014885,0,42.47,-1025.390334,122554.98642464,110051.65257536,113502.01,115997.13266667,0.0,48.0,18361.980847873365,5132.316433919223,12944.00580547265,0,0
2025-08-27,111262.01,-0.004495,1,41.58,-1190.339234,122606.46760292,109379.17139708,113072.12,115770.45566667,0.0,51.0,18279.6352567141,5132.316433919223,12931.061799667177,0,0
2025-08-28,112566.9,0.01166,0,44.8,-1201.913794,122565.01925081,109009.83574919,113081.67714286,115590.99366667,0.0,48.0,18494.020321752327,5132.316433919223,12931.061799667177,0,0
2025-08-29,108377.4,-0.037928,1,37.64,-1531.490287,122913.88978824,107852.48021176,111859.02142857,115275.56366667,0.0,50.0,17805.712318796028,5132.316433919223,12437.345456170175,0,0
2025-08-30,108816.33,0.004042,0,38.74,-1737.238248,122696.05164092,107022.55035908,110913.06142857,115043.972,0.0,39.0,17877.825705056348,5132.316433919223,12424.908110714005,0,0
2025-08-31,108246.35,-0.005252,1,37.8,-1924.107696,122485.39310593,106189.24389407,110163.45571429,114875.586,0.0,48.0,17784.18164358719,5132.316433919223,12347.466608349287,0,0
2025-09-01,109237.42,0.009114,1,40.5,-1969.528515,121763.84845336,105821.12254664,110038.51857143,114765.28833333,0.0,46.0,17947.008093638487,5132.316433919223,12460.51618213664,0,0
2025-09-02,111240.01,0.018166,1,45.63,-1822.919088,119846.92683131,106531.40216869,109963.77428571,114666.32866667,0.0,49.0,18276.020797693924,5132.316433919223,12448.055665954504,0,0
2025-09-03,111705.71,0.004178,0,46.77,-1650.130288,119092.15234578,106627.23865422,110027.16,114554.68466667,0.0,55.0,18352.532323407435,5132.316433919223,12448.055665954504,0,0
2025-09-04,110730.87,-0.008765,0,44.65,-1573.714558,118454.31423546,106603.95876454,109764.87,114441.38866667,0.0,51.0,18192.37235835148,5132.316433919223,12327.083813941757,0,0
2025-09-05,110659.99,-0.00064,0,44.49,-1501.564861,117707.86369605,106678.34230395,110090.95428571,114296.97933333,0.0,48.0,18180.72722856283,5132.316433919223,12319.193117329945,0,0
2025-09-06,110187.97,-0.004275,1,43.39,-1465.579487,116831.45265717,106833.04934283,110286.90285714,114054.178,0.0,48.0,18103.17736734898,5132.316433919223,12306.873924212616,0,0
2025-09-07,111137.34,0.008579,1,46.27,-1344.950837,116133.51299534,107022.01800466,110699.90142857,113869.598,0.0,44.0,18259.152774621118,5132.316433919223,12400.495974476155,0,0
2025-09-08,112065.23,0.008314,0,49.01,-1161.094422,116058.977116,107015.782884,111103.87428571,113723.03066667,0.0,51.0,18411.599155540825,5132.316433919223,12388.095478501678,0,0
2025-09-09,111546.39,-0.004641,1,47.55,-1045.204473,115736.25341739,107066.02158261,111147.64285714,113464.77666667,0.0,48.0,18326.35706835767,5132.316433919223,12318.410289012772,0,0
2025-09-10,113960.0,0.021407,1,54.36,-749.957654,115934.52551904,107013.74948096,111469.68428571,113307.24333333,0.0,49.0,18722.897724525552,5132.316433919223,12306.091878723759,0,0
